cobT_2	2109
group_11931	213
group_8559	387
group_4076	1104
group_8560	1914
group_4664	291
group_5531	153
group_4665	216
group_6674	180
group_4666	1323
group_4667	258
group_4077	783
group_4668	1116
group_8561	1341
group_3512	741
group_5532	306
group_6675	360
group_11932	669
group_8562	306
group_6676	522
group_5533	252
group_6677	693
group_11933	324
group_11934	513
group_761	504
group_8563	2736
group_1710	4707
group_6678	591
group_2413	798
group_4078	336
group_1270	4563
group_5534	270
group_6679	318
group_4079	738
group_5535	384
group_11935	474
group_5536	345
group_4669	834
group_11936	435
group_11937	921
group_4080	888
group_4081	1575
group_4670	1257
group_4671	633
group_11938	267
group_6680	891
group_5537	666
group_5538	669
noc_2	681
group_8564	1560
group_11939	279
group_5539	567
group_11940	489
group_6681	600
group_11941	525
group_4672	651
group_8565	204
group_5540	231
group_6682	483
group_4082	375
group_3513	396
group_8566	312
group_3514	330
group_6683	219
group_6684	222
group_6685	186
group_3076	300
metG_2	2100
mrp	1101
group_3515	390
group_6686	525
group_2131	855
group_1887	222
group_281	576
yfdT	387
group_2132	264
group_670	522
group_6687	324
group_83	531
group_5542	255
group_4673	543
group_4083	381
group_3077	705
group_3051	1686
group_11942	615
group_11943	282
group_4084	570
group_6688	159
group_4674	426
group_6689	189
group_3516	495
rnhA_2	594
group_4675	231
group_5544	594
group_4085	810
dnaQ_2	558
group_6690	420
group_6691	576
dfrD	477
group_4676	414
thyA_2	1104
group_11944	870
nrdB_2	1143
nrdA_2	2316
group_6692	570
group_4086	744
group_3518	1917
group_4679	1086
group_11946	645
group_6693	1095
group_8568	213
group_6694	336
group_3519	276
group_2414	426
group_6695	390
group_8569	741
group_11947	825
group_4680	831
group_4087	201
recA_2	1074
group_5545	267
xni	945
group_6253	1029
group_6696	432
dnaE_2	3519
cobS_2	249
group_4682	312
cyoE	891
cyoD	330
cyoC	615
cyoB	1992
cyoA	948
ampG	1476
yajG	579
bolA	315
tig	1299
clpP	624
clpX	1275
lon	2355
hupB	273
ppiD	1872
ybaV	372
fadM	399
queC	696
ybaE	1701
cof	819
decR	459
mdlA	1773
mdlB	1782
glnB	339
amtB	1287
tesB	861
ybaY	573
atl	312
group_4685	354
pdeB	1551
ylaC	471
maa	552
hha	219
tomB	375
acrB	3150
acrA	1194
acrR	648
mscK	3363
group_5551	162
priC	528
group_5552	378
apt	552
dnaX	1932
ybaB	330
recR	606
htpG	1875
adk	705
hemH	963
aes	960
gsk	1305
ybaL	1677
fsr	1221
ushA	1653
ybaK	480
ybaP	795
ybaQ	396
copA	2505
glsA	933
ybaT	1293
cueR	408
ybbJ	459
qmcA	918
fetA	678
fetB	780
cnoX	855
ybbO	771
tesA	594
ybbA	687
ybbP	1236
rhsD_2	4290
ybbC	369
group_2135	492
ylbG	399
selU	1095
allS	927
allA	483
allR	816
yobH	1782
hyi	777
glxR	879
ybbW	1455
allB	1362
ybbY	1302
glxK	1146
allE	786
allC	1236
fdrA	1668
group_2137	1260
group_1279	816
ybcF	894
purK	1068
purE	510
lpxH	723
ppiB	495
cysS	1386
group_762	522
ybcJ	213
folD	867
sfmA	543
sfmC	693
sfmD	2610
sfmH	1008
sfmF	516
fimZ	633
envY	762
rhsA_2	891
nfrA	2973
nfrB	2238
yhhI_1	1137
group_8574	222
group_3083	462
hcpA	504
cusS	1425
cusR	684
cusC	1383
cusF	333
cusB	1224
cusA	3144
pheP	1377
ybdG	1248
nfsB	654
ybdF	369
group_1889	249
ybdK	1119
hokE_2	153
insL-3_2	234
entD	630
fepA	2241
fes	1203
ybdZ	219
entF	3882
fepE	1134
fepC	816
fepG	993
fepD	1005
entS	1251
fepB	957
entC	1176
entE	1611
entB	858
entA	801
entH	414
cstA	2106
group_11958	198
hcxA	1089
ybdL	414
ybdM	630
ybdO	903
dsbG	747
ahpC	564
ahpF	1596
uspG	429
ybdR	1239
rnk	90
rna	807
citT	1464
citG	879
citX	552
citF	1533
citE	909
citD	297
citC	1059
dpiB	996
dpiA	681
dcuC	1386
pagP	561
cspC	210
crcB	384
ybeM	789
tatE	204
lipA	966
ybeF	954
lipB	642
group_8576	264
dacA	1284
rlpA	1089
mrdB	1113
mrdA	1902
