Genome	Gene	MeanCoverage	sdCoverage	PercentCoverage	CV	Status
KaeroEcoli	aaeA	25.8167202572347	7.96920435094437	1	0.308683840222157	Core
KaeroEcoli	aaeB	31.0670731707317	8.91344432594009	0.996951219512195	0.286909689784922	Core
KaeroEcoli	aaeR	26.6935483870968	10.650210168402	1	0.398980683045875	Core
KaeroEcoli	AAH1	33.6754166666667	8.02938926370081	0.997083333333333	0.238434741377636	Accessory
KaeroEcoli	aas	30.3226851851852	8.54143074105156	1	0.2816845107512	Core
KaeroEcoli	aat	26.3276595744681	7.64084704206997	0.997163120567376	0.290221279276943	Core
KaeroEcoli	abgA	27.8459191456903	7.1230662659119	0.999237223493516	0.25580287828331	Accessory
KaeroEcoli	abgB	30.5449515905947	8.21335641689029	1	0.268894072152313	Accessory
KaeroEcoli	abgR	31.7106710671067	8.56337519985491	1	0.270047113847983	Accessory
KaeroEcoli	abgT	31.2115258677145	8.16614326967574	0.996725605762934	0.261638706940723	Accessory
KaeroEcoli	abrB	26.3132760267431	10.382606311865	1	0.394576726262164	Core
KaeroEcoli	accA	24.425	13.4015002350697	0.903125	0.54867964114922	Core
KaeroEcoli	accB	28.5562632696391	8.28511341533776	1	0.290132967927441	Core
KaeroEcoli	accC	25.5325925925926	9.39954361958235	0.996296296296296	0.368139020175699	Core
KaeroEcoli	accD	30.5967213114754	9.90745967899727	1	0.323807887065384	Core
KaeroEcoli	aceA	32.2597701149425	9.34023463709273	0.999233716475096	0.289531965163211	Core
KaeroEcoli	aceB	34.4488139825218	7.57648086532693	1	0.219934447356329	Core
KaeroEcoli	aceE	25.8603603603604	10.2502311057916	0.938438438438438	0.396368455928539	Core
KaeroEcoli	aceF	30.6851558372953	10.3418920882815	0.997886951928156	0.337032412125207	Core
KaeroEcoli	aceK	31.769142199194	8.66066728645681	0.999424294761082	0.272612563227361	Core
KaeroEcoli	ackA	28.949293433084	8.21760553213114	1	0.283862041438975	Core
KaeroEcoli	acnA	27.9678624813154	7.72884477526538	0.999626307922272	0.27634735333917	Core
